,model_name,feature_set,seq_len,trial,pr_auc,roc_auc,f1,5,10,15,20,25,30
0,bitenet,dxtx,6,0,0.4076852071531671,0.6414968689917402,0.23076923076923078,0.6355333333333333,0.6206555555555555,0.6185492063492064,0.647147619047619,0.6379603174603174,0.6368253968253967
1,bitenet,dxtx,6,1,0.39697357249536436,0.6215615299513432,0.22702702702702704,0.6194666666666666,0.6974809523809523,0.7173751803751803,0.7264325637325637,0.7312775372775373,0.7356990860990862
2,bitenet,dxtx,6,2,0.43169869126480687,0.6610992363132512,0.31297709923664124,0.7775555555555556,0.8162116402116402,0.830381721981722,0.8366786916786917,0.8380136123136123,0.8398614718614719
3,bitenet,dxtx,6,3,0.4045207156837519,0.6572646910344679,0.32575757575757575,0.7452222222222223,0.7611449735449736,0.7636783068783068,0.7627597883597882,0.7597962962962962,0.7542920634920635
4,bitenet,dxtx,6,4,0.4218462736273726,0.6512174949785716,0.3137254901960785,0.7545333333333333,0.792168253968254,0.7858285714285715,0.7846666666666666,0.7773968253968254,0.7693555555555556
5,bitenet,dx,6,0,0.4198832488386917,0.5978883148408718,0.24175824175824173,0.44580000000000003,0.5048851851851852,0.5230039923039923,0.5255693121693121,0.5256281866281866,0.5302984607984607
6,bitenet,dx,6,1,0.39789986830275187,0.5968518061030493,0.2654028436018957,0.6379555555555555,0.610984126984127,0.6187026455026454,0.6244550264550264,0.6158719576719576,0.5994142857142856
7,bitenet,dx,6,2,0.36552260801802255,0.6133231651647136,0.2753036437246964,0.5914444444444446,0.6023312169312169,0.6072517556517557,0.6096104377104377,0.6093838383838384,0.6048451178451177
8,bitenet,dx,6,3,0.3560229957623653,0.5948056411853793,0.2535211267605633,0.7112666666666667,0.7295031746031746,0.7129571428571428,0.7061634920634922,0.7085952380952381,0.7066936507936507
9,bitenet,dx,6,4,0.35912367028538206,0.5915725932052287,0.30039525691699603,0.6615777777777778,0.6602656084656086,0.6594887519887519,0.6553856254856255,0.6548700003700004,0.6502714063714065
10,rnn,dxtx,6,0,0.41202631337065415,0.6108527298310437,0.296943231441048,0.6097555555555555,0.5760444444444444,0.5672571428571428,0.5691857142857142,0.5777333333333333,0.5826047619047618
11,rnn,dxtx,6,1,0.3910650944922549,0.5874587813235089,0.29411764705882354,0.6072444444444445,0.6057539682539682,0.6024761904761904,0.609115873015873,0.6201142857142857,0.6280158730158731
12,rnn,dxtx,6,2,0.40332404997678223,0.5956219589478094,0.29032258064516125,0.5715555555555555,0.6032661375661376,0.6076074555074554,0.6111303511303511,0.6166871572871573,0.6146523328523329
13,rnn,dxtx,6,3,0.4016988705852804,0.608940827703247,0.3096234309623431,0.5602222222222223,0.610920634920635,0.63274708994709,0.6416973544973545,0.6517931216931216,0.6551296296296296
14,rnn,dxtx,6,4,0.4144749002423749,0.619445548382939,0.344,0.6003777777777778,0.6391015873015874,0.662304761904762,0.6699333333333333,0.6768666666666666,0.679231746031746
15,rnn,dx,6,0,0.4229406542899936,0.616233982449168,0.3412698412698413,0.94,0.9813333333333333,0.992,0.992,0.996,0.9973333333333333
16,rnn,dx,6,1,0.4306247692300821,0.6265238826650626,0.33064516129032256,0.7512666666666667,0.7828380952380952,0.7933301587301587,0.7958063492063492,0.7980888888888888,0.7967428571428571
17,rnn,dx,6,2,0.4254224600470084,0.6188440510843063,0.32,0.8986666666666666,0.972,0.9853333333333333,0.992,0.9946666666666667,0.996
18,rnn,dx,6,3,0.4195458412449511,0.6136453958604098,0.3387096774193548,0.8895555555555557,0.9544317460317461,0.9738984126984127,0.983631746031746,0.986463492063492,0.986615873015873
19,rnn,dx,6,4,0.41938720174128885,0.6105412401585375,0.35102040816326524,0.8695111111111109,0.941863492063492,0.9469714285714287,0.9498984126984127,0.9533396825396825,0.9510253968253968
20,brnn,dxtx,6,0,0.4379459136188609,0.6476299932331555,0.24468085106382978,0.6203555555555555,0.6065047619047619,0.6018904761904762,0.6144095238095237,0.6229984126984127,0.6329730158730158
21,brnn,dxtx,6,1,0.4076190956043797,0.6040644031750465,0.3175965665236052,0.7741777777777777,0.8457206349206349,0.8612666666666667,0.856463492063492,0.8583904761904763,0.8603206349206348
22,brnn,dxtx,6,2,0.3917227919574129,0.6009495064499845,0.3230769230769231,0.8046888888888889,0.8690888888888888,0.8681777777777779,0.8694222222222221,0.8613555555555555,0.8562888888888889
23,brnn,dxtx,6,3,0.39386712099291715,0.5815834416386505,0.314410480349345,0.6914222222222222,0.6822190476190476,0.669320634920635,0.6760444444444444,0.6853968253968253,0.691879365079365
24,brnn,dxtx,6,4,0.413248103050861,0.5980816532582893,0.3347280334728034,0.6402666666666668,0.6824,0.6604222222222222,0.6592888888888888,0.6594888888888889,0.6578444444444445
25,brnn,dx,6,0,0.42238877269792696,0.6303584279438459,0.3114754098360656,0.691911111111111,0.7234079365079363,0.7361280423280423,0.7369201058201058,0.7346068783068784,0.7309888888888888
26,brnn,dx,6,1,0.42728713683760167,0.6345044628951354,0.32911392405063294,0.6265111111111111,0.6956957671957671,0.7192751322751324,0.7275391534391534,0.7329767195767196,0.7372634920634922
27,brnn,dx,6,2,0.4187271024006715,0.6354604139590336,0.3070539419087137,0.7043555555555555,0.8089222222222223,0.8277079365079365,0.8349126984126984,0.8404396825396825,0.8449952380952381
28,brnn,dx,6,3,0.432075669037831,0.6352992986111856,0.3418803418803419,0.7007555555555555,0.7918444444444445,0.8149142857142857,0.8163333333333334,0.8219714285714287,0.8249238095238096
