model_name,feature_set,seq_len,trial,pr_auc,roc_auc,f1,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
rnn,dxtx,6,4,0.38712380789030815,0.598536188669016,0.28846153846153844,0.3471001757469244,0.4489644970414201,0.49147920927062033,0.4986559139784946,0.4989926124916051,0.4986577181208054
rnn,dx,6,4,0.36646383190399284,0.5947736513960422,0.22459893048128346,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,6,4,0.37913895645051626,0.5994470046082949,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,6,4,0.39310018562774907,0.6113201409596096,0.26168224299065423,0.3611111111111111,0.42967542503863987,0.4566813509544787,0.4770965468639887,0.48581314878892734,0.4924965893587995
retain,dxtx,6,4,0.33769222292470613,0.5675901328273245,0.2857142857142857,0.3583260680034874,0.3772893772893773,0.39860515021459225,0.41759844433641224,0.42740471869328495,0.4378494623655914
retain,dx,6,4,0.3611415967518846,0.5839522905936568,0.2702702702702703,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,6,4,0.3667425032374316,0.6037300081322852,0.26086956521739135,0.3910891089108911,0.43654434250764523,0.4720452937013447,0.4983255190890824,0.5220165922144224,0.5460048426150121
deepr,dx,6,4,0.37799469889720927,0.5958254269449715,0.25906735751295334,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dxtx,8,0,0.36050287311290174,0.6032366494985091,0.19428571428571428,0.07006726457399103,0.18596208148446955,0.19763271162123386,0.2089145968016332,0.21247947454844007,0.21954314720812182
bitenet,dx,8,0,0.329638484937861,0.5863323393873678,0.20304568527918782,0.1678082191780822,0.29380396140172677,0.3082706766917293,0.3187934027777778,0.3250734985300294,0.3304703476482618
rnn,dxtx,8,0,0.3498595688186861,0.5566820276497696,0.2677824267782427,0.3227744401966139,0.41663076260232657,0.44768572539867757,0.4665194996320824,0.4742857142857143,0.4794231445655997
rnn,dx,8,0,0.3660106480309152,0.5949905123339658,0.2568807339449541,0.3727810650887574,0.4498525073746313,0.48411602209944754,0.4935593220338983,0.49663072776280326,0.4983210208193418
brnn,dxtx,8,0,0.3716917657101091,0.5948712388181079,0.2672811059907834,0.34965034965034963,0.4236111111111111,0.4656652360515021,0.48482758620689653,0.49045020463847205,0.4942528735632184
brnn,dx,8,0,0.3831627827223436,0.6128381675250745,0.26363636363636367,0.3339317773788151,0.4322678843226788,0.4772249474421864,0.4952638700947226,0.4976462676529926,0.4996651038178165
retain,dxtx,8,0,0.30736532643027065,0.553179723502304,0.25751072961373395,0.4916467780429594,0.5766381766381766,0.6312931885488647,0.6639712488769093,0.6841216216216216,0.6988339364696421
retain,dx,8,0,0.3171444952949343,0.5433884521550556,0.23728813559322032,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,8,0,0.3381380331485692,0.5956627812415288,0.20725388601036268,0.5135135135135135,0.596958174904943,0.6510976179355441,0.6854499579478553,0.7115902964959568,0.7301873198847262
deepr,dx,8,0,0.3301744363527732,0.5741935483870968,0.2766798418972332,0.44061650045330913,0.4930264993026499,0.539179104477612,0.5699421965317919,0.5904605263157895,0.601383714741884
bitenet,dxtx,8,1,0.3724338069177541,0.6106355342824414,0.1928934010152284,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,8,1,0.3513051061697171,0.5397285632466045,0.26229508196721313,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,8,1,0.37764764020521885,0.604381443298969,0.27642276422764234,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,8,1,0.41420482148242593,0.622545409916544,0.3189655172413793,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,8,1,0.39023139740187673,0.5983574701358207,0.26200873362445415,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dx,8,1,0.3742001347316877,0.5945528555064638,0.22317596566523604,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,8,1,0.3474174571708494,0.5979176894125348,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,8,1,0.3327106622395493,0.5602499590901653,0.26515151515151514,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,8,1,0.33465419804110313,0.5786900670921289,0.20491803278688522,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dx,8,1,0.41364943556220574,0.6131259204712813,0.3063063063063063,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dxtx,8,2,0.3320146474132142,0.583587903760538,0.22702702702702704,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,8,2,0.3439983451440515,0.606511082693947,0.28125,0.0,0.0,0.0,0.0,0.0,0.0
