model_name,feature_set,seq_len,trial,pr_auc,roc_auc,f1,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
rnn,dx,14,2,0.34739641395251253,0.5953500318261511,0.21348314606741572,0.0,0.0,0.0,0.0,0.0,0.0
brnn,dxtx,14,2,0.36547130661613986,0.6136193592334923,0.20111731843575417,0.622154779969651,0.6128755364806867,0.5788253477588872,0.5585384041759881,0.5427536231884058,0.533856022808268
brnn,dx,14,2,0.3467219219880529,0.5917319009704185,0.21468926553672318,0.0,0.0,0.0,0.0,0.0,0.0
retain,dxtx,14,2,0.2967651614366216,0.5237691096494657,0.2251082251082251,0.0,0.0,0.0,0.0,0.0,0.0
retain,dx,14,2,0.333064752429921,0.5633452076516767,0.25471698113207547,0.0,0.0,0.0,0.0,0.0,0.0
deepr,dxtx,14,2,0.31319866339768687,0.5829769176651889,0.17708333333333334,0.2989593188268685,0.3132137030995106,0.28920741989881954,0.2717350395182537,0.2602836879432624,0.2506775067750677
deepr,dx,14,2,0.32364569709482627,0.5648639292454412,0.1647058823529412,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dxtx,14,3,0.3623028808459245,0.5797665177823134,0.2611464968152866,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,14,3,0.39090670796550225,0.5679938079884836,0.30711610486891383,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,14,3,0.4022569374881209,0.6157699095848,0.24770642201834864,0.8499102333931777,0.8205252918287937,0.8331476943640009,0.8397518185708173,0.8437304402253286,0.8472363858861921
rnn,dx,14,3,0.4355109942604774,0.6154642529653622,0.2403846153846154,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,14,3,0.4210417284627307,0.6169826761716015,0.30830039525691705,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dx,14,3,0.4050638736910372,0.5991658532256633,0.19,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,14,3,0.4116079139648505,0.6037507025172302,0.32592592592592595,0.9358879882092852,0.9084132055378061,0.8809523809523809,0.8603036876355749,0.8362525458248472,0.8157181571815718
retain,dx,14,3,0.3851063554056488,0.5776022717188748,0.29545454545454547,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,14,3,0.43595254124917804,0.6379645241123635,0.2685185185185185,0.9213483146067416,0.8981481481481481,0.8757062146892656,0.8605898123324397,0.847547974413646,0.8358308358308358
deepr,dx,14,3,0.40100714707721186,0.5976178503465752,0.24324324324324323,0.8763775754671778,0.8286604361370716,0.8195710455764075,0.822216712124969,0.8271314178049929,0.8311688311688312
bitenet,dxtx,14,4,0.4418796409420901,0.6486298886298886,0.32857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
bitenet,dx,14,4,0.4368250527155483,0.6456254856254857,0.27860696517412936,1.0,1.0,1.0,1.0,1.0,1.0
rnn,dxtx,14,4,0.4419102502820969,0.6330380730380731,0.3255813953488372,0.3363148479427549,0.4270353302611367,0.4536834427425237,0.46879432624113476,0.48201936376210236,0.48698630136986304
rnn,dx,14,4,0.44675272043064973,0.63005439005439,0.348936170212766,1.0,1.0,1.0,1.0,1.0,1.0
brnn,dxtx,14,4,0.46271322599140907,0.6632167832167831,0.2673267326732673,0.46652267818574517,0.5680507497116494,0.6054708048395582,0.6236828901154039,0.6357455075279261,0.6426869938065746
brnn,dx,14,4,0.45171510893537636,0.6640352240352241,0.277511961722488,1.0,1.0,1.0,1.0,1.0,1.0
retain,dxtx,14,4,0.3997977708364435,0.6201709401709402,0.2794759825327511,1.0,1.0,1.0,1.0,1.0,1.0
retain,dx,14,4,0.41329077966979744,0.6333281533281532,0.2794759825327511,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dxtx,14,4,0.4426408806171823,0.6528878528878529,0.2933333333333334,1.0,1.0,1.0,1.0,1.0,1.0
deepr,dx,14,4,0.39305021130886786,0.5876923076923077,0.2936507936507937,0.34378378378378377,0.39718076285240467,0.42978395061728397,0.4484038604305865,0.45666423889293517,0.4668567355666429
bitenet,dxtx,16,0,0.33411315740991504,0.5752459016393443,0.2312138728323699,0.7425540595675234,0.6926142401700319,0.6737307871448532,0.6634283246977547,0.6601387188902489,0.6579049844236761
bitenet,dx,16,0,0.332986883844825,0.6065690866510538,0.3028571428571429,0.8,0.7586776859504132,0.7471236230110159,0.749941792782305,0.7506637168141593,0.7524416135881105
rnn,dxtx,16,0,0.34134473920825753,0.60096018735363,0.20359281437125748,0.7008470798038342,0.6243250923557829,0.6142892217039038,0.6133363677742376,0.6140388768898488,0.6131311032619987
rnn,dx,16,0,0.33947779138718676,0.5872248243559718,0.24509803921568626,0.7309917355371901,0.7032632743362832,0.7059966011167759,0.7100564971751412,0.7143465304384845,0.7156802928615009
brnn,dxtx,16,0,0.3187998900668064,0.5757494145199062,0.1863354037267081,0.6867739052725648,0.6139988186650915,0.6,0.5986394557823129,0.603577738515901,0.6060093101988997
brnn,dx,16,0,0.35132513102980095,0.6007142857142856,0.19753086419753085,0.7305439330543934,0.6609642301710731,0.6538887657877244,0.6497534921939194,0.6496307811892732,0.6519081141163394
retain,dxtx,16,0,0.2943770769402866,0.5582669789227166,0.22660098522167488,0.6705694518360831,0.6115107913669064,0.5900058445353594,0.580260015919342,0.5749250749250749,0.5740166865315852
retain,dx,16,0,0.30262516721080246,0.5674121779859485,0.24242424242424243,0.4048625792811839,0.37820091923834537,0.3643059490084986,0.3515215110178384,0.34534534534534533,0.3437044239183277
deepr,dxtx,16,0,0.36603112722787456,0.5938758782201405,0.2617801047120419,0.7125813449023861,0.6989583333333333,0.6896451425247236,0.689121887287025,0.6859259259259259,0.6879849517987303
deepr,dx,16,0,0.3417154444479209,0.5746018735362997,0.23463687150837986,0.717351598173516,0.6711085908704282,0.6596199524940618,0.6613344559040202,0.6638867339022498,0.6661807580174927
bitenet,dxtx,16,1,0.3476619365286986,0.6191054486310653,0.27007299270072993,0.0,0.0,0.0,0.0,0.0,0.0
bitenet,dx,16,1,0.37213564418036005,0.6218053673082136,0.21978021978021978,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dxtx,16,1,0.37322377806649887,0.6029709948495527,0.28444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
rnn,dx,16,1,0.35139116228884865,0.5854920032529141,0.2134831460674157,0.0,0.0,0.0,0.0,0.0,0.0
