model_name,feature_set,seq_len,n_heads,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dxtx,6,4,1,0.40847477164744017,0.36762222222222224,0.23256719576719578,0.18685668405668404,0.17598456503363627,0.1735708226407634,0.1731215014893733
bitenet,dx,6,4,1,0.38107015355939533,0.3674666666666667,0.2291878306878307,0.18461100751100754,0.17407888390132972,0.1716923264008592,0.17125093997970264
