model_name,feature_set,seq_len,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
brnn,dxtx,6,3,0.4118292101216651,0.3006444444444445,0.17843068783068786,0.14433382913382914,0.13589635063365713,0.13406475141162313,0.13366278714345198
brnn,dx,6,3,0.3603376587729191,0.31682222222222217,0.18762592592592592,0.1506074555074555,0.14208153531481704,0.14026406244951808,0.1398858041305701
retain,dxtx,6,3,0.296985440222841,0.4226444444444445,0.2801005291005291,0.22796003256003253,0.21445096249925968,0.2115502271959157,0.21089808492354356
retain,dx,6,3,0.32265756659500305,0.4217111111111111,0.2760592592592592,0.22487493247493248,0.21196931385321477,0.20925650627432021,0.20862483434471726
deepr,dxtx,6,3,0.36009544646801345,0.4425111111111111,0.29759259259259263,0.24663754763754764,0.23363718121117502,0.23088051517190028,0.23033834852628532
deepr,dx,6,3,0.336640897763567,0.4410444444444444,0.2865708994708995,0.23583869093869092,0.2228173115097264,0.21982673242697337,0.21915379065610058
bitenet,dxtx,6,4,0.29275319661588195,0.3723777777777778,0.2344671957671958,0.18865336515336514,0.1762982453276571,0.17367843354523663,0.17326857870871512
bitenet,dx,6,4,0.36700644677201943,0.34713333333333335,0.21627671957671957,0.17455519665519667,0.16375629744639034,0.16144785149620525,0.16111178312013685
rnn,dxtx,6,4,0.3731327326786017,0.3204222222222223,0.198489417989418,0.1604205535205535,0.15077549561435008,0.14876161394046844,0.1484773757095635
rnn,dx,6,4,0.3800479684832149,0.3323777777777778,0.20419735449735452,0.16748553298553298,0.15775796733939149,0.15569757082769062,0.15533257286269267
brnn,dxtx,6,4,0.37996446824381536,0.2848666666666667,0.16746349206349206,0.1372045732045732,0.1293339792359916,0.1276807450305835,0.12741424116407962
brnn,dx,6,4,0.38356844394837386,0.33957777777777776,0.21047989417989416,0.17253550523550523,0.16243765521830536,0.1603494112883223,0.16002033246591016
retain,dxtx,6,4,0.3565319568401959,0.41222222222222216,0.27497037037037036,0.22667991637991639,0.21319203081633423,0.21034243171977862,0.20985359709761064
retain,dx,6,4,0.3404835694999256,0.40022222222222215,0.2627253968253968,0.21571212121212122,0.20218476328739485,0.19926019399195602,0.19884619317795524
deepr,dxtx,6,4,0.3447571193739566,0.41775555555555555,0.2662137566137566,0.22031547711547714,0.20837704247936445,0.20573474246054269,0.20531007280920638
deepr,dx,6,4,0.33723993938059604,0.44404444444444446,0.2941037037037037,0.24267187627187628,0.22815499174028586,0.22486035405912644,0.2242541785062842
bitenet,dxtx,6,5,0.32954830192501694,0.34524444444444446,0.2148846560846561,0.17458158138158136,0.1640600127541304,0.16181397473417933,0.16136456787879547
bitenet,dx,6,5,0.36046465310587184,0.3584666666666667,0.2277201058201058,0.18539427609427608,0.17432590664123168,0.1718648212531898,0.17136376333282155
rnn,dxtx,6,5,0.4006795120080622,0.30773333333333336,0.18293597883597887,0.1503998482998483,0.1420560918498999,0.14019819612243895,0.1397986989316774
rnn,dx,6,5,0.37053603239434296,0.3578222222222222,0.22173756613756612,0.1808983608983609,0.17044397493344862,0.16819660433303454,0.16772365975526235
brnn,dxtx,6,5,0.3849153958181871,0.2890666666666667,0.17526296296296295,0.14406931216931215,0.13651821711140597,0.13482752509810525,0.13461930630965657
brnn,dx,6,5,0.3559862766549851,0.3182666666666667,0.19119999999999998,0.15713186813186814,0.14821932943217772,0.14639704447076232,0.14602921004039915
retain,dxtx,6,5,0.34087253828794634,0.3943777777777778,0.25426719576719575,0.20975055685055682,0.19809136639074718,0.19562430446716356,0.19522160909527278
retain,dx,6,5,0.33863877154201394,0.40668888888888893,0.26543386243386247,0.21867668627668627,0.2061380897854582,0.20336951459253516,0.20277149607635575
deepr,dxtx,6,5,0.3636054381470246,0.41486666666666666,0.272831216931217,0.22605192955192957,0.2126656206424008,0.20955626913451386,0.20886197677723295
deepr,dx,6,5,0.33448134154288794,0.40422222222222226,0.2650349206349206,0.21919098679098678,0.20683911200598504,0.2040184444609697,0.20339208318495325
